Fri Sep 22 13:07:45 2017    utils.Na62Loader_profile.txt

         446797 function calls (441493 primitive calls) in 35.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   35.334   35.334 <string>:1(<module>)
        1    0.018    0.018   35.334   35.334 Na62Loader.py:48(main)
      401    0.001    0.000   34.993    0.087 api_client.py:278(call_api)
      401    0.012    0.000   34.992    0.087 api_client.py:95(__call_api)
      401    0.002    0.000   34.896    0.087 api_client.py:336(request)
      401    0.001    0.000   34.894    0.087 rest.py:240(POST)
      401    0.008    0.000   34.893    0.087 rest.py:98(request)
      401    0.003    0.000   34.862    0.087 request.py:50(request)
      401    0.003    0.000   34.859    0.087 request.py:89(request_encode_body)
      401    0.006    0.000   34.829    0.087 poolmanager.py:301(urlopen)
      401    0.016    0.000   34.765    0.087 connectionpool.py:447(urlopen)
      401    0.014    0.000   34.557    0.086 connectionpool.py:322(_make_request)
      401    0.005    0.000   34.372    0.086 httplib.py:1084(getresponse)
      401    0.010    0.000   34.360    0.086 httplib.py:431(begin)
     4846    0.030    0.000   34.268    0.007 socket.py:410(readline)
      401    0.014    0.000   34.246    0.085 httplib.py:392(_read_status)
      467   34.218    0.073   34.218    0.073 {method 'recv' of '_socket.socket' objects}
      118    0.004    0.000   20.031    0.170 cdms_profile.py:7(with_profiling)
      118    0.023    0.000   20.027    0.170 ConditionsManagementApi.py:1139(storeObject)
      118    0.001    0.000   13.393    0.113 payloads_api.py:150(create_payload_multi_form)
      118    0.002    0.000   13.392    0.113 payloads_api.py:177(create_payload_multi_form_with_http_info)
       82    0.002    0.000    9.638    0.118 ConditionsManagementApi.py:857(createGlobalTagMap)
       82    0.000    0.000    9.633    0.117 globaltagmaps_api.py:43(create_global_tag_map)
       82    0.001    0.000    9.632    0.117 globaltagmaps_api.py:69(create_global_tag_map_with_http_info)
      118    0.001    0.000    6.446    0.055 iovs_api.py:43(create_iov)
      118    0.002    0.000    6.445    0.055 iovs_api.py:69(create_iov_with_http_info)
        1    0.000    0.000    2.905    2.905 ConditionsManagementApi.py:808(createGlobalTag)
        1    0.000    0.000    2.905    2.905 globaltags_api.py:43(create_global_tag)
        1    0.000    0.000    2.905    2.905 globaltags_api.py:70(create_global_tag_with_http_info)
       82    0.006    0.000    2.649    0.032 ConditionsManagementApi.py:743(createTag)
       82    0.000    0.000    2.631    0.032 tags_api.py:43(create_tag)
       82    0.002    0.000    2.631    0.032 tags_api.py:69(create_tag_with_http_info)
      401    0.001    0.000    0.159    0.000 httplib.py:1040(request)
      401    0.005    0.000    0.158    0.000 httplib.py:1067(_send_request)
      401    0.006    0.000    0.129    0.000 response.py:441(from_httplib)
      401    0.001    0.000    0.124    0.000 httplib.py:1025(endheaders)
      401    0.003    0.000    0.123    0.000 httplib.py:867(_send_output)
      401    0.002    0.000    0.120    0.000 httplib.py:840(send)
      236    0.111    0.000    0.111    0.000 {method 'read' of 'file' objects}
       68    0.000    0.000    0.103    0.002 connection.py:165(connect)
       68    0.000    0.000    0.102    0.001 connection.py:127(_new_conn)
       68    0.002    0.000    0.101    0.001 connection.py:36(create_connection)
      401    0.004    0.000    0.101    0.000 mimetools.py:24(__init__)
      401    0.002    0.000    0.089    0.000 rfc822.py:88(__init__)
      401    0.031    0.000    0.088    0.000 httplib.py:271(readheaders)
  670/662    0.011    0.000    0.087    0.000 os.py:209(walk)
       68    0.086    0.001    0.086    0.001 {_socket.getaddrinfo}
      401    0.009    0.000    0.059    0.000 _collections.py:302(from_httplib)
      401    0.009    0.000    0.058    0.000 response.py:113(__init__)
      401    0.006    0.000    0.046    0.000 _collections.py:135(__init__)
     6810    0.008    0.000    0.044    0.000 genericpath.py:46(isdir)
      401    0.002    0.000    0.044    0.000 poolmanager.py:206(connection_from_host)
      401    0.006    0.000    0.041    0.000 poolmanager.py:229(connection_from_context)
      401    0.002    0.000    0.040    0.000 connectionpool.py:215(_get_conn)
      401    0.005    0.000    0.038    0.000 response.py:346(read)
      118    0.002    0.000    0.037    0.000 ConditionsManagementApi.py:120(gethash)
      252    0.001    0.000    0.035    0.000 api_client.py:215(deserialize)
      400    0.001    0.000    0.032    0.000 connection.py:7(is_connection_dropped)
     6831    0.031    0.000    0.031    0.000 {posix.stat}
      118    0.031    0.000    0.031    0.000 {_hashlib.openssl_sha256}
      333    0.001    0.000    0.030    0.000 wait.py:29(wait_for_read)
      333    0.003    0.000    0.029    0.000 wait.py:9(_wait_for_io_events)
      401    0.005    0.000    0.029    0.000 _collections.py:224(extend)
     1339    0.003    0.000    0.028    0.000 socket.py:227(meth)
 1496/252    0.005    0.000    0.026    0.000 api_client.py:238(__deserialize)
      118    0.004    0.000    0.026    0.000 filepost.py:59(encode_multipart_formdata)
      252    0.006    0.000    0.024    0.000 api_client.py:609(__deserialize_model)
 4331/802    0.009    0.000    0.022    0.000 api_client.py:172(sanitize_for_serialization)
      118    0.003    0.000    0.022    0.000 api_client.py:429(prepare_post_parameters)
      401    0.006    0.000    0.022    0.000 poolmanager.py:242(connection_from_pool_key)
    19511    0.011    0.000    0.021    0.000 {isinstance}
      401    0.002    0.000    0.021    0.000 httplib.py:564(read)
     3846    0.006    0.000    0.020    0.000 _collections.py:208(add)
     2088    0.005    0.000    0.020    0.000 _abcoll.py:379(get)
      401    0.002    0.000    0.018    0.000 __init__.py:193(dumps)
      401    0.007    0.000    0.017    0.000 httplib.py:888(putrequest)
      333    0.017    0.000    0.017    0.000 {posix.listdir}
      401    0.002    0.000    0.016    0.000 encoder.py:186(encode)
     2406    0.010    0.000    0.016    0.000 httplib.py:1005(putheader)
      215    0.001    0.000    0.015    0.000 rest.py:285(__str__)
     6827    0.011    0.000    0.014    0.000 posixpath.py:61(join)
      645    0.001    0.000    0.014    0.000 {method 'format' of 'str' objects}
      401    0.011    0.000    0.014    0.000 poolmanager.py:57(_default_key_normalizer)
      401    0.013    0.000    0.013    0.000 {method 'sendall' of '_socket.socket' objects}
      401    0.013    0.000    0.013    0.000 encoder.py:212(iterencode)
      215    0.004    0.000    0.013    0.000 _collections.py:270(__repr__)
      118    0.000    0.000    0.013    0.000 mimetypes.py:274(guess_type)
      401    0.005    0.000    0.012    0.000 url.py:132(parse_url)
     3846    0.005    0.000    0.012    0.000 collections.py:163(setdefault)
      333    0.003    0.000    0.012    0.000 selectors.py:466(register)
     1604    0.006    0.000    0.011    0.000 abc.py:128(__instancecheck__)
      401    0.002    0.000    0.010    0.000 _collections.py:50(__getitem__)
       66    0.001    0.000    0.010    0.000 httplib.py:609(_read_chunked)
       68    0.010    0.000    0.010    0.000 {method 'connect' of '_socket.socket' objects}
      401    0.002    0.000    0.009    0.000 connectionpool.py:253(_put_conn)
    10445    0.008    0.000    0.009    0.000 {getattr}
        1    0.000    0.000    0.009    0.009 mimetypes.py:347(init)
       52    0.009    0.000    0.009    0.000 api_client.py:586(__deserialize_datatime)
        1    0.000    0.000    0.009    0.009 mimetypes.py:194(read)
     4247    0.009    0.000    0.009    0.000 collections.py:71(__setitem__)
     2283    0.004    0.000    0.009    0.000 _collections.py:293(itermerged)
     3846    0.005    0.000    0.009    0.000 rfc822.py:202(isheader)
      354    0.001    0.000    0.008    0.000 filepost.py:21(iter_field_objects)
        1    0.004    0.004    0.008    0.008 mimetypes.py:205(readfp)
      402    0.005    0.000    0.008    0.000 collections.py:50(__init__)
      405    0.003    0.000    0.008    0.000 Queue.py:107(put)
      802    0.002    0.000    0.008    0.000 connectionpool.py:293(_get_timeout)
      467    0.002    0.000    0.008    0.000 httplib.py:667(_safe_read)
    19786    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
    15267    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      252    0.001    0.000    0.007    0.000 __init__.py:294(loads)
     5313    0.007    0.000    0.007    0.000 {method 'write' of 'cStringIO.StringO' objects}
      236    0.001    0.000    0.007    0.000 fields.py:71(from_tuples)
      252    0.001    0.000    0.007    0.000 decoder.py:359(decode)
      401    0.004    0.000    0.006    0.000 response.py:202(_init_length)
      873    0.003    0.000    0.006    0.000 {method 'encode' of 'str' objects}
      118    0.000    0.000    0.006    0.000 filepost.py:14(choose_boundary)
     3846    0.005    0.000    0.006    0.000 httplib.py:257(addheader)
      236    0.001    0.000    0.006    0.000 fields.py:157(make_multipart)
      333    0.001    0.000    0.006    0.000 selectors.py:565(DefaultSelector)
      684    0.003    0.000    0.006    0.000 api_client.py:212(<dictcomp>)
      401    0.002    0.000    0.006    0.000 Queue.py:150(get)
      333    0.002    0.000    0.006    0.000 selectors.py:192(register)
    15055    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
