Fri Sep 22 16:41:02 2017    utils.Na62Loader_profile.txt

         438463 function calls (432733 primitive calls) in 37.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   37.032   37.032 <string>:1(<module>)
        1    0.013    0.013   37.031   37.031 Na62Loader.py:48(main)
      401    0.005    0.000   36.506    0.091 api_client.py:278(call_api)
      401    0.014    0.000   36.501    0.091 api_client.py:95(__call_api)
      401    0.002    0.000   36.367    0.091 api_client.py:336(request)
      401    0.001    0.000   36.365    0.091 rest.py:240(POST)
      401    0.008    0.000   36.364    0.091 rest.py:98(request)
      401    0.003    0.000   36.341    0.091 request.py:50(request)
      401    0.003    0.000   36.338    0.091 request.py:89(request_encode_body)
      401    0.006    0.000   36.307    0.091 poolmanager.py:301(urlopen)
      401    0.013    0.000   36.248    0.090 connectionpool.py:447(urlopen)
      401    0.010    0.000   36.042    0.090 connectionpool.py:322(_make_request)
      401    0.005    0.000   35.957    0.090 httplib.py:1084(getresponse)
      401    0.011    0.000   35.947    0.090 httplib.py:431(begin)
     4669    0.031    0.000   35.846    0.008 socket.py:410(readline)
      401    0.015    0.000   35.826    0.089 httplib.py:392(_read_status)
      401   35.794    0.089   35.794    0.089 {method 'recv' of '_socket.socket' objects}
      118    0.002    0.000   21.869    0.185 cdms_profile.py:7(with_profiling)
      118    0.021    0.000   21.867    0.185 ConditionsManagementApi.py:1139(storeObject)
      118    0.001    0.000   12.226    0.104 payloads_api.py:150(create_payload_multi_form)
      118    0.003    0.000   12.225    0.104 payloads_api.py:177(create_payload_multi_form_with_http_info)
       82    0.002    0.000   10.037    0.122 ConditionsManagementApi.py:857(createGlobalTagMap)
       82    0.000    0.000   10.032    0.122 globaltagmaps_api.py:43(create_global_tag_map)
       82    0.001    0.000   10.032    0.122 globaltagmaps_api.py:69(create_global_tag_map_with_http_info)
      118    0.001    0.000    9.263    0.079 iovs_api.py:43(create_iov)
      118    0.002    0.000    9.263    0.078 iovs_api.py:69(create_iov_with_http_info)
       82    0.005    0.000    3.078    0.038 ConditionsManagementApi.py:743(createTag)
       82    0.000    0.000    3.063    0.037 tags_api.py:43(create_tag)
       82    0.002    0.000    3.063    0.037 tags_api.py:69(create_tag_with_http_info)
        1    0.000    0.000    1.936    1.936 ConditionsManagementApi.py:808(createGlobalTag)
        1    0.000    0.000    1.936    1.936 globaltags_api.py:43(create_global_tag)
        1    0.000    0.000    1.936    1.936 globaltags_api.py:70(create_global_tag_with_http_info)
      236    0.304    0.001    0.304    0.001 {method 'read' of 'file' objects}
      401    0.005    0.000    0.127    0.000 response.py:441(from_httplib)
      401    0.004    0.000    0.106    0.000 mimetools.py:24(__init__)
      401    0.002    0.000    0.095    0.000 rfc822.py:88(__init__)
      401    0.032    0.000    0.093    0.000 httplib.py:271(readheaders)
  670/662    0.011    0.000    0.092    0.000 os.py:209(walk)
      336    0.002    0.000    0.065    0.000 api_client.py:215(deserialize)
      401    0.009    0.000    0.064    0.000 _collections.py:302(from_httplib)
      401    0.001    0.000    0.061    0.000 httplib.py:1040(request)
      401    0.005    0.000    0.060    0.000 httplib.py:1067(_send_request)
 2006/336    0.007    0.000    0.052    0.000 api_client.py:238(__deserialize)
      401    0.010    0.000    0.052    0.000 response.py:113(__init__)
      401    0.006    0.000    0.050    0.000 _collections.py:135(__init__)
      336    0.008    0.000    0.049    0.000 api_client.py:609(__deserialize_model)
     6810    0.009    0.000    0.047    0.000 genericpath.py:46(isdir)
      401    0.002    0.000    0.044    0.000 connectionpool.py:215(_get_conn)
      401    0.002    0.000    0.040    0.000 poolmanager.py:206(connection_from_host)
      118    0.002    0.000    0.038    0.000 ConditionsManagementApi.py:120(gethash)
      401    0.002    0.000    0.037    0.000 poolmanager.py:229(connection_from_context)
      400    0.002    0.000    0.037    0.000 connection.py:7(is_connection_dropped)
      118    0.035    0.000    0.035    0.000 {_hashlib.openssl_sha256}
      396    0.001    0.000    0.035    0.000 wait.py:29(wait_for_read)
     6831    0.034    0.000    0.034    0.000 {posix.stat}
      396    0.004    0.000    0.034    0.000 wait.py:9(_wait_for_io_events)
      401    0.005    0.000    0.032    0.000 _collections.py:224(extend)
      401    0.005    0.000    0.030    0.000 response.py:346(read)
      154    0.026    0.000    0.027    0.000 api_client.py:586(__deserialize_datatime)
